,portfolio,portfolio.curve,portfolio.percent.curve,capital
2024-06-25,-1679.999999999964,-6426.712777777668,-0.6426712777777672,1000000.0
2024-06-26,7124.190000000071,697.4772222224037,0.0697477222222399,1000000.0
2024-06-27,1719.9999999999634,2417.4772222223673,0.24174772222223623,1000000.0
2024-06-28,-4331.620000000061,-1914.1427777776935,-0.19141427777776987,1000000.0
2024-07-01,-449.9999999999105,-2364.142777777604,-0.23641427777776092,1000000.0
2024-07-02,6284.190000000025,3920.047222222421,0.3920047222222416,1000000.0
2024-07-03,-4140.000000000156,-219.95277777773526,-0.021995277777774047,1000000.0
2024-07-04,-5535.809999999883,-5755.762777777618,-0.5755762777777624,1000000.0
2024-07-05,-2820.000000000107,-8575.762777777725,-0.8575762777777731,1000000.0
2024-07-08,-2819.999999999773,-11395.762777777498,-1.1395762777777505,1000000.0
2024-07-09,-3760.0000000002537,-15155.762777777752,-1.515576277777776,1000000.0
2024-07-10,-939.999999999813,-16095.762777777565,-1.6095762777777571,1000000.0
2024-07-11,-6110.00000000012,-22205.762777777687,-2.220576277777769,1000000.0
2024-07-12,-2819.999999999773,-25025.76277777746,-2.5025762777777465,1000000.0
2024-07-15,469.9999999999065,-24555.762777777556,-2.4555762777777557,1000000.0
2024-07-16,-5640.000000000214,-30195.76277777777,-3.019576277777777,1000000.0
2024-07-17,-11279.99999999976,-41475.762777777534,-4.147576277777753,1000000.0
2024-07-18,6453.520000000027,-35022.24277777751,-3.50222427777775,1000000.0
2024-07-19,12400.950000000012,-22621.292777777497,-2.262129277777749,1000000.0
2024-07-22,-126.48,-22747.772777777496,-2.274777277777749,1000000.0
2024-07-23,-1300.000000000111,-24047.77277777761,-2.40477727777776,1000000.0
2024-07-24,-2355.809999999904,-26403.582777777512,-2.6403582777777506,1000000.0
2024-07-25,734.1900000000285,-25669.392777777484,-2.5669392777777476,1000000.0
2024-07-26,-2160.000000000082,-27829.392777777568,-2.7829392777777557,1000000.0
2024-07-29,-31.62,-27861.012777777567,-2.786101277777756,1000000.0
2024-07-30,-1980.000000000075,-29841.012777777643,-2.9841012777777634,1000000.0
2024-07-31,-6851.6199999998935,-36692.63277777754,-3.6692632777777527,1000000.0
2024-08-01,-694.8600000000228,-37387.49277777756,-3.738749277777755,1000000.0
2024-08-02,-3407.4300000000276,-40794.92277777759,-4.079492277777757,1000000.0
2024-08-05,-1949.0500000000186,-42743.972777777606,-4.2743972777777595,1000000.0
2024-08-06,1856.7600000000018,-40887.212777777604,-4.0887212777777595,1000000.0
2024-08-07,228.3800000000051,-40658.8327777776,-4.065883277777759,1000000.0
2024-08-08,-31.62,-40690.4527777776,-4.069045277777759,1000000.0
2024-08-09,128.3800000000108,-40562.07277777759,-4.056207277777758,1000000.0
2024-08-12,-47.43,-40609.50277777759,-4.060950277777758,1000000.0
2024-08-13,839.999999999982,-39769.502777777605,-3.97695027777776,1000000.0
2024-08-14,1772.569999999986,-37996.93277777762,-3.7996932777777612,1000000.0
2024-08-15,-1327.1949999999829,-39324.127777777605,-3.9324127777777593,1000000.0
2024-08-16,-973.2400000000036,-40297.36777777761,-4.029736777777759,1000000.0
2024-08-19,10152.570000000023,-30144.79777777759,-3.014479777777757,1000000.0
2024-08-20,4800.00000000004,-25344.79777777755,-2.534479777777753,1000000.0
2024-08-21,-3000.0000000001137,-28344.79777777766,-2.8344797777777644,1000000.0
2024-08-22,-447.4299999999204,-28792.22777777758,-2.8792227777777564,1000000.0
2024-08-23,1792.5699999999608,-26999.657777777622,-2.69996577777776,1000000.0
2024-08-26,7460.949999999978,-19538.707777777643,-1.9538707777777624,1000000.0
2024-08-27,-3767.4299999999207,-23306.137777777563,-2.3306137777777547,1000000.0
2024-08-28,3368.3800000000483,-19937.757777777515,-1.9937757777777498,1000000.0
2024-08-29,2800.9499999999384,-17136.807777777576,-1.713680777777756,1000000.0
2024-08-30,-489.04999999991844,-17625.857777777495,-1.7625857777777478,1000000.0
2024-09-02,-14339.050000000105,-31964.9077777776,-3.1964907777777585,1000000.0
2024-09-03,-1530.000000000058,-33494.907777777655,-3.3494907777777643,1000000.0
2024-09-04,509.99999999989853,-32984.90777777776,-3.2984907777777743,1000000.0
