index,price
2006-06-16,1364.0
2006-06-19,1352.5
2006-06-20,1356.5
2006-06-21,1365.75
2006-06-22,1360.0
2006-06-23,1359.5
2006-06-26,1364.25
2006-06-27,1353.75
2006-06-28,1361.75
2006-06-29,1386.5
2006-06-30,1383.5
2006-07-03,1392.25
2006-07-04,1391.75
2006-07-05,1383.75
2006-07-06,1386.75
2006-07-07,1379.0
2006-07-10,1381.0
2006-07-11,1386.25
2006-07-12,1372.25
2006-07-13,1351.5
2006-07-14,1346.25
2006-07-17,1344.5
2006-07-18,1349.75
2006-07-19,1366.5
2006-07-20,1358.25
2006-07-21,1348.75
2006-07-24,1371.5
2006-07-25,1375.5
2006-07-26,1377.25
2006-07-27,1376.25
2006-07-28,1388.25
2006-07-31,1385.75
2006-08-01,1380.75
2006-08-02,1388.25
2006-08-03,1391.25
2006-08-04,1390.0
2006-08-07,1386.25
2006-08-08,1380.75
2006-08-09,1375.5
2006-08-10,1379.5
2006-08-11,1376.25
2006-08-14,1377.25
2006-08-15,1391.75
2006-08-16,1403.0
2006-08-17,1405.0
2006-08-18,1411.0
2006-08-21,1406.25
2006-08-22,1406.0
2006-08-23,1401.75
2006-08-24,1400.0
2006-08-25,1401.5
2006-08-28,1407.75
2006-08-29,1409.0
2006-08-30,1409.0
2006-08-31,1409.5
2006-09-01,1416.5
2006-09-04,1420.25
2006-09-05,1418.5
2006-09-06,1406.75
2006-09-07,1400.25
2006-09-08,1403.25
2006-09-11,1404.5
2006-09-12,1417.75
2006-09-13,1421.75
2006-09-14,1422.25
2006-09-15,1425.0
2006-09-18,1427.0
2006-09-19,1423.25
2006-09-20,1429.25
2006-09-21,1423.0
2006-09-22,1418.75
2006-09-25,1428.5
2006-09-26,1439.5
2006-09-27,1440.5
2006-09-28,1440.0
2006-09-29,1438.25
2006-10-02,1433.25
2006-10-03,1436.0
2006-10-04,1451.0
2006-10-05,1453.5
2006-10-06,1451.5
2006-10-09,1452.0
2006-10-10,1453.5
2006-10-11,1451.75
2006-10-12,1463.5
2006-10-13,1466.25
2006-10-16,1468.75
2006-10-17,1464.5
2006-10-18,1465.25
2006-10-19,1467.0
2006-10-20,1467.75
2006-10-23,1473.5
2006-10-24,1477.5
2006-10-25,1482.0
2006-10-26,1485.75
2006-10-27,1477.5
2006-10-30,1476.0
2006-10-31,1476.0
2006-11-01,1465.75
2006-11-02,1464.0
2006-11-03,1461.25
2006-11-06,1476.5
2006-11-07,1481.75
2006-11-08,1484.25
2006-11-09,1476.75
2006-11-10,1477.5
2006-11-13,1480.75
2006-11-14,1490.5
2006-11-15,1494.25
2006-11-16,1497.75
2006-11-17,1497.5
2006-11-20,1498.0
2006-11-21,1499.0
2006-11-22,1501.25
2006-11-23,1500.0
2006-11-24,1495.75
2006-11-27,1476.25
2006-11-28,1481.25
2006-11-29,1495.0
2006-11-30,1495.75
2006-12-01,1493.25
2006-12-04,1503.5
2006-12-05,1509.5
2006-12-06,1507.5
2006-12-07,1501.5
2006-12-08,1502.75
2006-12-11,1507.25
2006-12-12,1505.5
2006-12-13,1507.0
2006-12-14,1518.75
2006-12-15,1518.75
2006-12-18,1515.25
2006-12-19,1516.75
2006-12-20,1515.75
2006-12-21,1510.25
2006-12-22,1500.75
2006-12-25,
2006-12-26,1509.25
2006-12-27,1517.5
2006-12-28,1514.25
2006-12-29,1509.0
2007-01-01,
2007-01-02,1509.0
2007-01-03,1505.25
2007-01-04,1508.0
2007-01-05,1497.0
2007-01-08,1503.0
2007-01-09,1501.0
2007-01-10,1505.0
2007-01-11,1511.5
2007-01-12,1521.25
2007-01-15,1524.0
2007-01-16,1519.25
2007-01-17,1519.25
2007-01-18,1513.75
2007-01-19,1517.25
2007-01-22,1511.5
2007-01-23,1516.0
2007-01-24,1526.75
2007-01-25,1509.75
2007-01-26,1508.0
2007-01-29,1506.75
2007-01-30,1514.5
2007-01-31,1523.5
2007-02-01,1531.25
2007-02-02,1533.5
2007-02-05,1534.25
2007-02-06,1533.75
2007-02-07,1536.25
2007-02-08,1534.5
2007-02-09,1523.5
2007-02-12,1518.5
2007-02-13,1530.0
2007-02-14,1539.0
2007-02-15,1540.0
2007-02-16,1539.5
2007-02-19,1540.0
2007-02-20,1542.25
2007-02-21,1541.0
2007-02-22,1539.75
2007-02-23,1534.25
2007-02-26,1533.0
2007-02-27,1475.75
2007-02-28,1489.5
2007-03-01,1485.5
2007-03-02,1466.25
2007-03-05,1452.75
2007-03-06,1476.0
2007-03-07,1473.75
2007-03-08,1485.25
2007-03-09,1485.5
2007-03-12,1487.5
2007-03-13,1460.0
2007-03-14,1469.75
2007-03-15,1471.5
2007-03-16,1467.0
2007-03-19,1483.75
2007-03-20,1491.5
2007-03-21,1513.0
2007-03-22,1513.0
2007-03-23,1515.0
2007-03-26,1513.25
2007-03-27,1508.5
2007-03-28,1497.5
2007-03-29,1499.5
2007-03-30,1499.25
2007-04-02,1501.25
2007-04-03,1515.25
2007-04-04,1516.5
2007-04-05,1520.75
2007-04-06,1520.75
2007-04-09,1522.5
2007-04-10,1524.0
2007-04-11,1516.5
2007-04-12,1523.5
2007-04-13,1529.25
2007-04-16,1543.5
2007-04-17,1547.0
2007-04-18,1548.25
2007-04-19,1548.25
2007-04-20,1561.0
2007-04-23,1556.25
2007-04-24,1556.5
2007-04-25,1568.75
2007-04-26,1570.75
2007-04-27,1570.0
2007-04-30,1556.5
2007-05-01,1560.75
2007-05-02,1569.0
2007-05-03,1576.25
2007-05-04,1582.25
2007-05-07,1582.25
2007-05-08,1580.25
2007-05-09,1583.5
2007-05-10,1567.25
2007-05-11,1580.25
2007-05-14,1576.75
2007-05-15,1576.5
2007-05-16,1586.0
2007-05-17,1583.25
2007-05-18,1596.0
2007-05-21,1596.0
2007-05-22,1593.25
2007-05-23,1593.5
2007-05-24,1579.5
2007-05-25,1585.25
2007-05-28,1586.25
2007-05-29,1590.5
2007-05-30,1602.0
2007-05-31,1601.0
2007-06-01,1607.5
2007-06-04,1608.25
2007-06-05,1601.75
2007-06-06,1584.5
2007-06-07,1557.25
2007-06-08,1576.0
2007-06-11,1578.5
2007-06-12,1561.0
2007-06-13,1583.75
2007-06-14,1593.0
2007-06-15,1601.25
2007-06-18,1599.5
2007-06-19,1602.5
2007-06-20,1580.5
2007-06-21,1589.25
2007-06-22,1574.0
2007-06-25,1567.0
2007-06-26,1551.25
2007-06-27,1572.5
2007-06-28,1570.75
2007-06-29,1569.0
2007-07-02,1584.5
2007-07-03,1589.75
2007-07-04,1592.5
2007-07-05,1588.0
2007-07-06,1596.0
2007-07-09,1596.0
2007-07-10,1573.5
2007-07-11,1584.5
2007-07-12,1609.25
2007-07-13,1613.5
2007-07-16,1613.25
2007-07-17,1612.25
2007-07-18,1608.25
2007-07-19,1613.25
2007-07-20,1598.5
2007-07-23,1602.5
2007-07-24,1576.0
2007-07-25,1578.25
2007-07-26,1541.5
2007-07-27,1511.5
2007-07-30,1534.25
2007-07-31,1515.5
2007-08-01,1523.5
2007-08-02,1535.25
2007-08-03,1496.5
2007-08-06,1521.25
2007-08-07,1536.0
2007-08-08,1557.5
2007-08-09,1509.75
2007-08-10,1504.5
2007-08-13,1508.5
2007-08-14,1487.75
2007-08-15,1468.0
2007-08-16,1478.0
2007-08-17,1503.5
2007-08-20,1502.5
2007-08-21,1503.75
