DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2006-12-11 13:00:00,117.55,20070600,118.01,20070300,117.55,20070600
2006-12-11 13:15:00,,20070600,118.06,20070300,,20070600
2006-12-11 13:30:00,,20070600,118.11,20070300,,20070600
2006-12-11 13:45:00,,20070600,118.15,20070300,,20070600
2006-12-11 14:00:00,,20070600,118.19,20070300,,20070600
2006-12-11 14:15:00,,20070600,118.16,20070300,,20070600
2006-12-11 14:30:00,,20070600,118.17,20070300,,20070600
2006-12-11 14:45:00,,20070600,118.15,20070300,,20070600
2006-12-11 15:00:00,117.64,20070600,118.09,20070300,117.64,20070600
2006-12-11 15:15:00,,20070600,118.1,20070300,,20070600
2006-12-11 15:30:00,,20070600,118.09,20070300,,20070600
2006-12-11 15:45:00,,20070600,118.12,20070300,,20070600
2006-12-11 16:00:00,,20070600,118.1,20070300,,20070600
2006-12-11 16:15:00,,20070600,118.09,20070300,,20070600
2006-12-11 16:30:00,,20070600,118.07,20070300,,20070600
2006-12-11 16:45:00,,20070600,118.04,20070300,,20070600
2006-12-11 17:00:00,,20070600,118.04,20070300,,20070600
2006-12-11 17:15:00,,20070600,118.04,20070300,,20070600
2006-12-11 17:30:00,,20070600,118.08,20070300,,20070600
2006-12-11 17:45:00,,20070600,118.09,20070300,,20070600
2006-12-11 18:00:00,,20070600,118.07,20070300,,20070600
2006-12-11 18:15:00,,20070600,118.07,20070300,,20070600
2006-12-11 18:30:00,,20070600,118.08,20070300,,20070600
2006-12-11 18:45:00,117.63,20070600,118.09,20070300,117.63,20070600
2006-12-11 19:00:00,,20070600,118.09,20070300,,20070600
2006-12-11 19:15:00,117.62,20070600,118.08,20070300,117.62,20070600
2006-12-11 19:30:00,,20070600,118.09,20070300,,20070600
2006-12-11 19:45:00,,20070600,118.09,20070300,,20070600
2006-12-11 20:00:00,,20070600,118.09,20070300,,20070600
2006-12-11 20:15:00,,20070600,118.11,20070300,,20070600
2006-12-11 20:30:00,,20070600,118.09,20070300,,20070600
2006-12-11 20:45:00,,20070600,118.1,20070300,,20070600
2006-12-11 21:00:00,,20070600,118.08,20070300,,20070600
2006-12-12 07:00:00,,20070600,118.14,20070300,,20070600
2006-12-12 07:15:00,,20070600,118.15,20070300,,20070600
2006-12-12 07:30:00,,20070600,118.14,20070300,,20070600
2006-12-12 07:45:00,,20070600,118.14,20070300,,20070600
2006-12-12 08:00:00,,20070600,118.12,20070300,,20070600
2006-12-12 08:15:00,,20070600,118.13,20070300,,20070600
2006-12-12 08:30:00,,20070600,118.16,20070300,,20070600
2006-12-12 08:45:00,,20070600,118.14,20070300,,20070600
2006-12-12 09:00:00,,20070600,118.18,20070300,,20070600
2006-12-12 09:15:00,,20070600,118.16,20070300,,20070600
2006-12-12 09:30:00,,20070600,118.16,20070300,,20070600
2006-12-12 09:45:00,,20070600,118.11,20070300,,20070600
2006-12-12 10:00:00,,20070600,118.05,20070300,,20070600
2006-12-12 10:15:00,,20070600,118.06,20070300,,20070600
2006-12-12 10:30:00,,20070600,118.06,20070300,,20070600
2006-12-12 10:45:00,,20070600,118.08,20070300,,20070600
2006-12-12 11:00:00,,20070600,118.06,20070300,,20070600
2006-12-12 11:15:00,,20070600,118.05,20070300,,20070600
2006-12-12 11:30:00,117.52,20070600,118.03,20070300,117.52,20070600
2006-12-12 11:45:00,,20070600,118.05,20070300,,20070600
2006-12-12 12:00:00,,20070600,118.16,20070300,,20070600
2006-12-12 12:15:00,,20070600,118.16,20070300,,20070600
2006-12-12 12:30:00,,20070600,118.12,20070300,,20070600
2006-12-12 12:45:00,,20070600,118.12,20070300,,20070600
2006-12-12 13:00:00,,20070600,118.08,20070300,,20070600
2006-12-12 13:15:00,,20070600,118.07,20070300,,20070600
2006-12-12 13:30:00,,20070600,118.11,20070300,,20070600
